,item,category,name,price,store,image,story,vegan,foods,real price,location
96,blueberries,produce,Blueberries,$1.88,Food Basics,https://cdn.flippenterprise.net/page_items/240755454/1635873851/large.jpg,,FALSE,['blueberries'],1.88,Kingston
97,broccoli,produce,Broccoli crowns,$1.88,Food Basics,https://cdn.flippenterprise.net/page_pdf_images/12829137/551f9b78-38bf-11ec-a821-0edc53c25ee6/medium,,FALSE,['broccoli'],1.88,Kingston
98,annie's mac & cheese,meat,Annie's mac & cheese,$1.88,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333115/1635946464/medium,save 39¢,FALSE,"[""annie's mac & cheese""]",1.88,Kingston
99,crackers,other,Dare crackers,$1.88,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333099/1635946403/medium,save up to $1.09,FALSE,['crackers'],1.88,Kingston
100,"rubschlager rye bread, 454 g, la baguetterie bread, rolls or baguette, 285-454 g",bakery,"Rubschlager rye bread, 454 g, la baguetterie bread, rolls or baguette, 285-454 g",$1.88,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12829403/da019034-38c0-11ec-a52c-0edc53c25ee6/medium,,FALSE,"['rubschlager rye bread, 454 g, la baguetterie bread, rolls or baguette, 285-454 g']",1.88,Kingston
101,bread,bakery,Rubschlager bread,$1.88,Giant Tiger,https://cdn.flippenterprise.net/page_item_supplemental_infos/240333140/1635946589/medium,save up to 1.61,FALSE,['bread'],1.88,Kingston
102,selection flakes of chicken or ham,meat,Selection flakes of chicken or ham,$1.89,Food Basics,https://cdn.flippenterprise.net/page_pdf_images/12829155/43b5b39a-38bf-11ec-88af-0e1ba86a8db4/medium,,FALSE,['selection flakes of chicken or ham'],1.89,Kingston
103,"lantic sugar, 2 kg",none,"Lantic sugar, 2 kg",$1.97,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12829405/d6dbc5c8-38c0-11ec-8b3e-0ec6e2beadde/medium,,FALSE,"['lantic sugar, 2 kg']",1.97,Kingston
104,mushrooms,produce,Your fresh market™ white mushrooms,$1.97,Walmart,https://cdn.flippenterprise.net/page_pdf_images/12821749/44360000-37f6-11ec-94ea-0edc53c25ee6/medium,,FALSE,['mushrooms'],1.97,Kingston
105,celery,produce,Celery stalks,$1.97,Walmart,https://cdn.flippenterprise.net/page_pdf_images/12823157/3dd9730e-380f-11ec-945e-0e7faade0358/medium,,FALSE,['celery'],1.97,Kingston
106,potatoes,produce,5 lb russet potatoes,$1.97,Giant Tiger,https://cdn.flippenterprise.net/page_pdf_images/12823084/3136752a-380f-11ec-944d-0efae983d694/medium,,FALSE,['potatoes'],1.97,Kingston
